,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
331,Manokwari,ID,-0.8667,134.0833,80.64,72,98,0.47,overcast clouds
332,Vyartsilya,RU,62.1764,30.693,52.97,62,100,9.95,overcast clouds
333,San Andrés,CO,12.5847,-81.7006,84.22,79,90,8.05,overcast clouds
334,Berlevåg,NO,70.8578,29.0864,44.65,69,94,2.06,overcast clouds
335,Emilio Carranza,MX,19.9711,-96.6114,74.35,91,100,10.92,overcast clouds
336,Dubai,AE,25.2582,55.3047,86.25,79,2,5.75,clear sky
337,Bose,IT,45.4612,8.0137,72.18,81,43,5.59,scattered clouds
338,Nanortalik,GL,60.1432,-45.2371,37.63,87,44,3.53,scattered clouds
339,Türkan,AZ,40.3639,50.215,62.78,82,0,0.0,clear sky
340,Saint George,US,37.1041,-113.5841,109.63,6,8,3.0,clear sky
341,Tacna,PE,-18.0056,-70.2483,56.3,78,16,4.27,few clouds
342,Tezu,IN,27.9167,96.1667,79.32,93,67,1.7,broken clouds
343,Khatanga,RU,71.9667,102.5,48.67,76,86,6.96,overcast clouds
344,Talnakh,RU,69.4865,88.3972,47.26,86,26,10.69,scattered clouds
